"Country","HDI","Category","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","Occupation","Years","Months","Community","Status","NumSon","NumDaught","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","Q1Self","Q2Others","DPMean","AIPMean","GPMean","SWLSMean"
"UnitedStates",0.92,"VeryHigh",19,"Male","No Kids","ltuni","student",10000,NA,12,6,"Medium-Sized","Single",0,0,5,5,4,5,5,4,5,5,4,4,2,5,4,4,5,4,5,4,4,5,4,4,2,3,4,3,5,3,4,5,5,5,5,4,4,4,3,5,5,5,2,2,1,1,1,"yes","yes",4.8,4.267,4.1,1.4
"UnitedStates",0.92,"VeryHigh",32,"Male","Yes Kids","deg","full-time",55000,NA,10,0,"Small City","Married",1,0,4,4,4,3,3,2,3,5,4,3,4,3,2,3,4,4,3,2,4,2,2,1,4,5,3,3,3,3,5,3,4,4,3,4,3,4,3,5,3,4,1,4,3,3,2,"yes","no",3.6,3.2,3.45,2.6
"UnitedStates",0.92,"VeryHigh",38,"Female","No Kids","deg","full-time",45000," teacher",3,0,"Large Town","Single",0,0,2,2,3,3,3,2,2,4,3,3,2,2,5,3,3,4,3,4,3,3,3,2,4,3,3,3,2,3,4,3,3,4,2,4,3,2,3,4,3,4,3,3,3,3,3,"yes","yes",2.6,3.067,3.1,3
"UnitedStates",0.92,"VeryHigh",32,"Female","No Kids","deg","full-time",67500,"Deputy Director",0,6,"Large-City","Single",0,0,3,2,1,2,2,3,1,1,2,1,3,3,3,1,3,2,3,3,1,5,3,1,1,2,1,5,3,4,5,1,3,3,3,2,5,2,2,1,2,2,5,5,5,4,4,"yes","no",2,2.333,2.55,4.6
"UnitedStates",0.92,"VeryHigh",32,"Female","Yes Kids","deg","part-time",55000,"RN",10,0,"Large Town","Married",3,0,5,5,5,5,5,2,3,3,5,5,5,5,5,5,5,5,5,3,4,5,5,5,4,5,5,3,5,5,5,4,1,5,5,5,5,3,4,5,5,5,2,2,3,3,1,"yes","yes",5,4.333,4.45,2.2
"UnitedStates",0.92,"VeryHigh",28,"Female","Yes Kids","ltuni","student",NA,NA,0,0,"Small Town","Married",0,1,4,5,5,4,4,1,1,1,1,3,5,3,5,4,4,2,1,1,1,5,5,5,1,5,5,2,4,4,5,1,4,5,1,3,4,5,3,5,5,3,4,4,4,4,4,"yes","yes",4.4,2.533,3.75,4
"UnitedStates",0.92,"VeryHigh",38,"Male","No Kids","ma","full-time",87500,"Accounting",2,0,"Large-City","Single",0,0,4,4,4,3,3,3,4,5,4,4,2,5,4,5,5,3,4,5,4,5,4,4,3,4,5,3,3,4,4,5,3,4,2,2,4,4,5,4,4,5,1,1,1,2,1,"yes","yes",3.6,4.133,3.8,1.2
"UnitedStates",0.92,"VeryHigh",28,"Male","No Kids","deg","full-time",55000,"Multimedia Developer",5,0,"Large-City","Single",0,0,3,3,3,2,2,3,4,3,5,3,5,2,4,3,3,4,5,4,3,3,3,1,3,5,1,4,4,4,5,3,3,4,4,4,4,4,2,4,4,4,4,3,4,4,5,"yes","no",2.6,3.6,3.5,4
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","deg","full-time",67500," consultant",5,6,"Medium-Sized","Married",0,0,5,5,5,5,5,1,1,2,5,4,2,5,4,2,4,2,4,5,3,2,4,1,2,5,5,5,4,5,5,2,5,4,2,4,4,4,4,5,4,3,2,2,2,2,2,"yes","yes",5,3.067,3.85,2
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","dip","full-time",35000,"Executive Assistant",2,0,"Large-City","Single",0,0,2,2,3,3,3,2,1,2,3,1,3,2,2,1,3,2,1,2,1,3,3,1,2,2,1,2,3,2,2,1,3,3,1,2,1,3,2,3,2,2,3,3,4,4,5,"yes","no",2.6,1.933,2.05,3.8
"UnitedStates",0.92,"VeryHigh",55,"Male","No Kids","deg","full-time",35000,"special education teacher",3,7,"Medium-Sized","Married",0,0,2,1,2,2,2,1,1,2,3,2,2,4,3,1,3,2,3,4,1,1,3,1,2,1,2,2,2,2,3,2,1,3,2,3,3,3,4,2,3,2,4,4,5,5,5,"yes","no",1.8,2.2,2.3,4.6
"UnitedStates",0.92,"VeryHigh",23,"Female","No Kids","deg","full-time",45000,NA,0,6,"Large-City","Single",0,0,4,3,3,2,2,1,1,2,3,2,1,5,2,1,2,4,4,3,3,2,4,2,2,1,3,3,4,4,5,5,4,5,2,4,4,4,3,3,4,3,3,5,4,4,5,"yes","no",2.8,2.4,3.45,4.2
"UnitedStates",0.92,"VeryHigh",45,"Female","No Kids","ltuni","full-time",35000,"Insurance Coordinator",14,0,"Medium-Sized","Single",0,0,3,4,3,2,2,1,1,1,3,3,2,3,2,3,3,3,3,4,2,3,4,2,2,4,2,4,4,3,5,2,4,4,2,2,4,3,4,4,4,4,2,4,4,3,1,"yes","yes",2.8,2.467,3.35,2.8
"UnitedStates",0.92,"VeryHigh",45,"Female","No Kids","ma","full-time",55000,"Speaker/Actor",17,0,"Medium-Sized","Single",0,0,4,4,4,3,2,3,3,5,5,5,1,5,3,3,4,1,4,2,5,4,5,3,1,5,1,2,5,4,5,5,5,5,2,3,4,4,1,4,3,4,4,3,4,4,3,"yes","yes",3.4,3.533,3.55,3.6
"UnitedStates",0.92,"VeryHigh",55,"Female","Yes Kids","ma","part-time",45000," consultant",0,9,"Large-City","Married",2,0,3,3,4,2,2,3,3,4,4,2,2,2,4,2,4,4,4,4,2,2,3,4,4,2,3,2,4,4,3,4,4,3,4,4,4,4,3,3,4,3,4,4,4,4,4,"yes","no",2.8,3.067,3.45,4
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","deg","full-time",25000,"Editor",1,9,"Medium-Sized","Single",0,0,4,4,5,3,3,1,3,3,5,4,2,5,4,2,4,4,5,4,4,4,4,1,2,4,4,1,4,4,5,4,5,5,2,4,4,5,5,4,4,4,4,4,4,4,2,"yes","yes",3.8,3.6,3.75,3.6
"UnitedStates",0.92,"VeryHigh",19,"Female","No Kids","ltuni","student",10000,NA,0,0,"Large-City","Single",0,0,2,2,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,3,2,2,2,3,1,5,1,1,3,2,1,1,2,2,3,3,4,4,4,3,"yes","yes",1.8,1.267,1.9,3.6
"UnitedStates",0.92,"VeryHigh",28,"Male","No Kids","ma","student",NA,NA,0,0,"Medium-Sized","Married",0,0,4,4,4,3,3,1,3,4,4,2,1,3,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,"yes","no",3.6,3.067,4,2.6
"UnitedStates",0.92,"VeryHigh",45,"Female","No Kids","deg","unemployed",15000,"Unemployed",4,0,"Large-City","Married",0,0,3,4,4,3,3,1,2,2,3,3,4,3,3,3,3,2,3,3,2,3,4,2,2,3,4,4,4,3,4,2,3,4,2,2,4,3,2,4,4,4,2,2,3,3,3,"yes","no",3.4,2.667,3.2,2.6
"UnitedStates",0.92,"VeryHigh",21,"Female","No Kids","ltuni","student",10000,NA,3,6,"Small City","Single",0,0,3,4,4,3,3,1,1,2,3,2,2,4,4,2,3,4,3,4,2,3,4,4,3,2,4,3,4,4,5,3,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4,"yes","yes",3.4,2.667,3.65,3.6
"UnitedStates",0.92,"VeryHigh",22,"Male","No Kids","dip","student",NA,NA,0,0,"Medium-Sized","Single",0,0,3,4,2,3,3,1,1,5,2,1,1,3,4,1,5,4,3,3,2,1,4,2,5,4,3,2,4,4,5,1,2,3,1,4,4,4,1,3,4,4,2,4,3,2,3,"yes","no",3,2.467,3.2,2.8
"UnitedStates",0.92,"VeryHigh",24,"Female","No Kids","deg","full-time",15000,"Retail / artist /writer",4,0,"Small City","Single",0,0,3,3,3,2,2,1,2,4,3,2,1,4,4,3,3,4,4,3,3,2,3,2,3,4,4,2,3,4,3,4,4,3,2,3,3,4,4,3,3,4,3,3,4,3,4,"yes","yes",2.6,2.867,3.25,3.4
"UnitedStates",0.92,"VeryHigh",55,"Female","No Kids","ma","full-time",87500,"manager",NA,0,"Large-City","Single",0,0,4,3,3,3,3,1,1,4,4,3,2,2,4,1,2,2,1,3,1,3,4,3,3,2,2,3,4,3,4,4,5,4,5,2,5,4,3,3,4,3,2,2,2,3,1,"yes","no",3.2,2.267,3.5,2
"UnitedStates",0.92,"VeryHigh",19,"Female","No Kids","high","part-time",10000,"Customer Service",2,0,"Large-City","Single",0,0,3,4,3,3,3,1,5,5,4,4,5,5,1,5,5,4,5,4,3,1,4,1,1,5,2,1,1,2,4,3,1,3,1,3,3,4,4,1,5,5,1,2,3,2,5,"yes","yes",3.2,3.8,2.7,2.6
"UnitedStates",0.92,"VeryHigh",24,"Male","No Kids","ma","student",25000,NA,3,0,"Large-City","Single",0,0,3,4,5,2,2,1,2,5,4,2,3,5,4,2,4,4,3,4,2,3,5,3,4,5,3,4,4,4,4,3,4,4,4,4,4,5,4,4,5,5,5,4,5,5,4,"yes","yes",3.2,3.2,4.1,4.6
"UnitedStates",0.92,"VeryHigh",45,"Female","Yes Kids","ma","student",10000,NA,0,0,"Medium-Sized","Married",1,1,3,4,2,3,3,2,2,4,3,3,4,3,4,3,3,3,4,3,4,4,4,3,3,2,4,3,3,4,3,3,4,3,3,3,4,4,3,3,4,4,3,2,3,2,1,"yes","no",3,3.267,3.35,2.2
"UnitedStates",0.92,"VeryHigh",55,"Female","Yes Kids","deg","retired",150000,"Artist/administrator",10,0,"Medium-Sized","Married",0,1,2,2,3,2,2,1,1,3,1,2,1,2,3,1,3,3,2,3,1,2,2,2,3,2,3,2,3,2,3,2,3,3,2,4,4,3,3,3,3,4,3,4,4,4,3,"yes","yes",2.2,1.933,2.8,3.6
"UnitedStates",0.92,"VeryHigh",55,"Male","Yes Kids","ma","full-time",87500,"Social Media consultant",0,5,"Large Town","Married",1,0,2,1,2,1,1,2,4,3,4,2,2,4,3,1,3,2,4,2,4,3,2,2,4,1,1,2,2,3,4,2,3,2,4,2,3,3,2,2,2,3,3,3,2,3,4,"yes","no",1.4,2.867,2.45,3
"UnitedStates",0.92,"VeryHigh",68,"Female","Yes Kids","ltuni","part-time",35000,"Receptionist",6,0,"Small Town","Divorced",2,1,4,3,1,2,2,2,2,3,3,4,4,4,3,2,3,4,3,2,3,4,4,4,1,1,3,1,3,2,4,3,1,4,3,3,3,5,3,3,4,4,4,4,4,4,2,"yes","yes",2.4,3.067,2.95,3.6
"UnitedStates",0.92,"VeryHigh",32,"Female","No Kids","phd","full-time",45000,NA,1,0,"Medium-Sized","Married",0,0,1,1,1,2,2,1,2,2,3,2,1,1,2,1,2,3,3,3,3,2,3,3,2,2,3,4,2,1,3,2,3,3,2,2,2,3,1,3,3,2,4,4,4,4,3,"no","no",1.4,2.067,2.45,3.8
"UnitedStates",0.92,"VeryHigh",23,"Female","No Kids","ma","student",10000,NA,0,0,"Large-City","Single",0,0,3,3,1,1,1,2,2,2,3,3,5,3,4,3,3,3,5,4,3,3,3,2,2,4,3,2,3,3,4,2,3,3,2,3,4,3,3,3,3,4,4,4,5,5,4,"yes","no",1.8,3.2,2.95,4.4
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","phd","full-time",150000,"Pharmacist",1,0,"Large-City","Single",0,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,"no","no",1,1.133,1.05,4.6
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","deg","full-time",45000,"Program Specialist",1,5,"Large-City","Single",0,0,2,3,2,1,1,1,1,1,4,2,1,5,5,2,1,3,3,1,3,4,5,1,4,5,4,3,1,3,5,2,2,5,2,5,4,4,4,4,4,4,3,3,3,4,2,"yes","yes",1.8,2.467,3.55,3
"UnitedStates",0.92,"VeryHigh",45,"Female","Yes Kids","deg","full-time",35000," teacher",4,0,"Large Town","Married",2,1,4,4,5,5,5,5,4,5,5,5,5,4,1,5,5,5,5,5,2,4,4,3,4,5,2,1,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,3,5,4,1,"yes","yes",4.6,4.333,4.3,3.4
"UnitedStates",0.92,"VeryHigh",32,"Female","No Kids","ma","student",10000,NA,2,0,"Medium-Sized","Single",0,0,4,5,4,2,2,1,1,2,3,3,1,2,3,2,5,1,3,3,3,2,5,1,1,4,3,1,4,3,5,2,2,3,3,3,3,3,1,5,5,3,4,4,4,3,3,"yes","no",3.4,2.333,3,3.6
"UnitedStates",0.92,"VeryHigh",45,"Female","Yes Kids","ma","full-time",25000," teacher",4,4,"Medium-Sized","Married",2,1,2,1,1,1,1,2,1,2,3,2,1,1,3,1,1,3,1,3,2,2,3,1,4,5,1,2,3,2,3,2,4,3,3,4,3,5,3,3,4,2,4,4,4,4,2,"no","no",1.2,1.867,3,3.6
"UnitedStates",0.92,"VeryHigh",22,"Female","No Kids","deg","part-time",25000,"Science writing intern",0,0,"Small City","Single",0,0,4,5,3,4,3,1,1,3,3,4,3,5,5,3,4,1,2,4,3,3,4,2,3,4,4,4,5,4,4,4,5,4,4,4,5,4,3,4,3,4,2,3,3,3,2,"yes","yes",3.8,3,3.9,2.6
"UnitedStates",0.92,"VeryHigh",28,"Male","No Kids","deg","full-time",87500,"Software Developer",1,5,"Large-City","Single",0,0,4,4,5,2,2,1,1,4,2,2,2,4,2,2,4,2,1,3,1,3,2,1,1,1,2,2,4,4,4,2,2,5,3,3,4,5,4,3,3,3,5,5,5,4,5,"yes","yes",3.4,2.267,2.9,4.8
"UnitedStates",0.92,"VeryHigh",32,"Female","No Kids","ma","full-time",45000," teacher",6,0,"Large Town","Married",0,0,4,5,4,4,3,5,2,3,4,4,4,5,5,2,5,5,5,5,3,5,5,1,1,1,5,5,5,3,5,2,5,5,5,5,5,5,5,5,1,1,4,4,4,4,4,"yes","yes",4,4.133,3.75,4
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","ma","student",15000,NA,1,0,"Large-City","Married",0,0,2,3,3,2,2,1,2,5,4,1,1,3,5,1,1,5,3,5,2,2,3,3,4,5,1,5,1,3,3,4,4,2,1,5,5,5,4,5,3,4,2,4,4,4,4,"yes","yes",2.4,2.733,3.5,3.6
"UnitedStates",0.92,"VeryHigh",25,"Male","No Kids","dip","part-time",87500,"Software Developer",1,0,"Large-City","Single",0,0,3,3,5,5,5,5,4,5,3,4,1,5,5,5,4,5,5,5,3,5,5,4,4,5,5,3,5,4,4,4,4,4,4,5,5,4,5,5,5,5,4,4,4,3,3,"yes","yes",4.2,4.267,4.45,3.6
"UnitedStates",0.92,"VeryHigh",38,"Female","No Kids","phd","full-time",55000,"engineer",4,0,"Medium-Sized","Single",0,0,2,3,2,1,1,1,1,1,3,2,1,1,4,1,2,3,3,2,1,3,3,1,5,5,1,4,3,3,3,1,4,4,1,2,4,4,3,3,3,4,2,3,3,3,5,"yes","no",1.8,1.933,3.05,3.2
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","ma","full-time",35000,"research specialist",0,7,"Medium-Sized","Married",0,0,3,4,4,3,2,1,1,4,4,3,4,3,4,4,4,3,2,4,2,3,3,2,3,4,3,3,4,5,3,2,3,4,3,3,4,4,5,4,4,4,3,4,4,3,4,"yes","yes",3.2,3.067,3.5,3.6
"UnitedStates",0.92,"VeryHigh",45,"Female","No Kids","ma","full-time",67500,"Editor",7,8,"Small Town","Single",0,0,5,4,1,2,2,1,1,5,2,5,3,2,4,5,5,4,2,3,2,4,5,3,3,4,1,3,4,1,4,2,3,5,1,1,5,5,4,4,5,4,2,2,2,2,2,"yes","yes",2.8,3.2,3.35,2
"UnitedStates",0.92,"VeryHigh",45,"Female","No Kids","ma","full-time",87500,"manager IT",7,0,"Large-City","Divorced",0,0,4,5,5,4,4,3,2,3,2,4,4,4,4,4,4,4,3,4,3,5,5,4,3,5,5,3,4,4,4,2,3,4,4,4,4,4,4,4,5,4,2,2,3,3,2,"yes","yes",4.4,3.533,3.95,2.4
"UnitedStates",0.92,"VeryHigh",22,"Male","No Kids","ltuni","full-time",87500,"Software Developer",2,0,"Medium-Sized","Single",0,0,3,5,4,3,3,5,1,2,1,3,1,3,4,1,3,3,2,3,1,5,4,5,1,5,5,5,4,5,4,1,1,4,5,5,2,4,5,3,3,2,3,3,3,2,1,"yes","yes",3.6,2.533,3.65,2.4
"UnitedStates",0.92,"VeryHigh",21,"Female","No Kids","ltuni","student",10000,"Nanny",3,0,"Small City","Single",0,0,2,2,1,1,1,1,2,3,4,2,4,3,4,2,4,2,4,2,2,3,4,1,2,5,2,2,2,3,3,3,3,4,2,3,4,4,3,3,3,3,4,3,3,3,3,"yes","yes",1.4,2.8,2.95,3.2
"UnitedStates",0.92,"VeryHigh",38,"Female","No Kids","phd","full-time",67500," Epidemiologist",2,0,"Large-City","Married",0,0,3,3,1,1,1,1,1,4,2,2,2,1,2,1,2,2,2,4,2,2,2,2,1,2,2,3,2,2,3,2,2,3,1,1,2,4,3,3,1,3,4,5,5,5,4,"no","no",1.8,2,2.2,4.6
"UnitedStates",0.92,"VeryHigh",38,"Male","No Kids","deg","unemployed",10000,NA,0,0,"Large-City","Single",0,0,5,5,5,5,5,3,3,3,4,5,3,5,4,4,5,4,4,3,4,5,5,4,5,3,3,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,3.933,4.55,1
"UnitedStates",0.92,"VeryHigh",23,"Male","No Kids","deg","full-time",55000,NA,0,4,"Large-City","Single",0,0,2,2,3,2,3,1,4,5,3,2,2,3,3,2,3,4,3,3,4,2,3,4,2,4,5,5,1,4,3,4,3,3,1,3,3,5,4,4,4,4,2,4,2,3,3,"yes","yes",2.4,2.933,3.45,2.8
"UnitedStates",0.92,"VeryHigh",45,"Female","No Kids","phd","full-time",87500,NA,0,9,"Medium-Sized","Single",0,0,4,4,4,4,4,1,4,5,5,3,2,5,3,3,5,3,5,3,5,5,5,3,4,4,3,3,2,4,5,5,4,2,4,3,5,1,3,5,4,2,1,1,1,1,1,"yes","yes",4,3.8,3.55,1
"UnitedStates",0.92,"VeryHigh",45,"Female","Yes Kids","ma","full-time",NA," teacher",1,0,"Small City","Married",1,1,5,3,5,2,2,2,1,3,4,2,4,3,3,2,4,5,3,4,4,1,3,1,3,4,3,1,3,5,3,4,4,2,1,4,2,5,5,4,4,2,3,3,3,5,4,"yes","no",3.4,3,3.15,3.6
"UnitedStates",0.92,"VeryHigh",25,"Female","No Kids","ma","student",25000,"Graduate Research Assistant",1,3,"Large-City","Single",0,0,4,4,3,3,3,3,4,2,5,5,5,5,5,5,5,2,5,1,5,5,5,2,3,4,5,3,5,5,5,4,5,5,3,3,5,4,3,5,4,5,3,3,4,4,3,"yes","yes",3.4,4.133,4.15,3.4
"UnitedStates",0.92,"VeryHigh",45,"Male","No Kids","deg","full-time",15000,"HVAC Tech",0,6,"Small Town","Single",0,0,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,4,3,4,5,5,5,5,1,4,5,5,5,5,5,4,4,5,4,5,2,2,2,1,2,"yes","yes",5,4.8,4.4,1.8
"UnitedStates",0.92,"VeryHigh",45,"Male","No Kids","ma","full-time",67500,"Accounting Manager",0,0,"Medium-Sized","Single",0,0,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.933,5,1
"UnitedStates",0.92,"VeryHigh",45,"Male","No Kids","ma","full-time",67500,"Accounting Manager",0,0,"Medium-Sized","Single",0,0,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.467,4.8,1
"UnitedStates",0.92,"VeryHigh",45,"Male","No Kids","ma","full-time",67500,NA,0,0,"Medium-Sized","Single",0,0,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.467,4.8,1
"UnitedStates",0.92,"VeryHigh",32,"Female","Yes Kids","ma","full-time",67500,"Marketing",4,0,"Small City","Married",0,1,3,2,2,2,2,1,2,3,3,4,5,4,4,4,4,2,2,3,2,4,4,2,1,5,4,3,3,2,5,2,4,5,2,3,4,4,4,4,4,3,4,4,4,4,4,"yes","yes",2.2,3.133,3.4,4
"UnitedStates",0.92,"VeryHigh",38,"Female","No Kids","ma","full-time",35000,"Self-employed writer/editor",4,0,"Large-City","Single",0,0,3,3,3,2,2,2,2,3,4,3,2,4,5,5,5,4,2,3,2,5,5,2,2,5,4,2,4,3,5,3,4,5,3,2,4,3,4,5,5,5,3,3,3,4,2,"yes","yes",2.6,3.4,3.75,3
"UnitedStates",0.92,"VeryHigh",45,"Female","Yes Kids","deg","part-time",35000,"Healthcare Consultant",2,0,"Large Town","Married",0,3,4,3,3,3,3,3,4,2,5,5,5,4,5,3,5,3,5,3,4,4,5,2,3,4,4,3,4,3,4,4,5,4,4,2,4,3,3,4,4,3,3,3,2,3,3,"yes","yes",3.2,4,3.6,2.8
"UnitedStates",0.92,"VeryHigh",45,"Male","Yes Kids","dip","full-time",150000,"Sales",3,0,"Large-City","Married",0,3,3,4,3,3,3,4,1,2,3,3,4,3,4,3,4,2,1,3,1,4,4,1,5,2,3,2,3,3,4,1,3,3,5,4,3,5,3,5,4,5,1,1,1,1,1,"yes","no",3.2,2.8,3.4,1
"UnitedStates",0.92,"VeryHigh",28,"Male","No Kids","dip","part-time",15000," Diplomat",0,1,"Large Town","Single",0,0,5,5,5,5,5,2,2,4,4,5,5,5,3,3,4,2,2,4,2,5,5,1,5,3,4,2,4,3,4,5,4,4,2,2,3,4,4,4,5,4,3,3,3,3,2,"yes","yes",5,3.467,3.6,2.8
"UnitedStates",0.92,"VeryHigh",45,"Male","No Kids","deg","full-time",NA,NA,10,0,"Small City","Single",0,0,2,2,2,1,1,1,1,2,3,3,1,2,3,1,4,2,2,2,2,3,3,2,2,2,3,2,3,3,3,3,3,3,2,2,3,5,3,3,3,2,3,4,4,3,3,"yes",NA,1.6,2.133,2.75,3.4
"UnitedStates",0.92,"VeryHigh",45,"Male","No Kids","ma","part-time",250000,NA,5,0,"Large-City","Single",0,0,4,4,4,4,4,1,1,4,2,5,4,4,5,5,4,3,2,2,2,4,3,2,2,2,2,3,4,4,5,3,3,4,2,5,4,3,3,5,5,4,3,3,4,3,2,"yes","yes",4,3.2,3.4,3
"UnitedStates",0.92,"VeryHigh",38,"Female","Yes Kids","ma","",NA," houswife",1,1,"Small City","Married",1,0,2,2,2,2,3,1,2,2,5,4,3,2,2,3,4,3,2,4,4,3,4,3,2,3,4,3,4,3,3,4,4,3,2,3,3,4,4,3,4,4,4,5,4,5,3,"yes","yes",2.2,2.933,3.35,4.2
"UnitedStates",0.92,"VeryHigh",19,"Male","No Kids","ltuni","student",10000,NA,NA,0,"Medium-Sized","Single",0,0,2,3,2,2,2,2,1,5,2,2,1,5,3,1,5,5,2,4,1,1,4,1,3,4,1,3,4,2,5,1,2,5,1,3,4,1,2,4,5,5,3,4,4,5,5,"yes","yes",2.2,2.667,3,4.2
"UnitedStates",0.92,"VeryHigh",55,"Female","Yes Kids","phd","retired",55000,NA,5,0,"Rural/Country","Married",1,1,3,3,2,1,1,1,2,3,4,4,2,4,3,1,1,1,4,4,4,3,4,1,1,5,2,3,3,2,4,3,4,3,3,2,3,3,2,5,5,5,4,4,4,5,4,"yes","yes",2,2.733,3.15,4.2
"UnitedStates",0.92,"VeryHigh",32,"Female","No Kids","ma","student",25000,NA,3,7,"Large-City","Separated",0,0,5,5,3,3,3,1,2,1,3,5,4,3,3,3,5,4,3,2,2,2,5,3,3,3,2,3,4,4,5,3,3,5,1,1,4,3,3,5,5,4,2,3,1,1,4,"yes","yes",3.8,2.867,3.45,2.2
"UnitedStates",0.92,"VeryHigh",55,"Male","No Kids","dip","unemployed",25000,NA,0,0,"Medium-Sized","Single",0,0,1,2,3,4,5,2,3,4,1,2,3,4,1,3,3,5,4,3,4,5,4,3,4,5,2,3,4,1,4,3,5,2,3,2,1,4,3,4,1,4,2,3,3,4,4,"yes","no",3,3.133,3.1,3.2
"UnitedStates",0.92,"VeryHigh",55,"Female","Yes Kids","ltuni","unemployed",25000,"Unemployed",17,0,"Rural/Country","Married",3,0,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,3,1,"yes","yes",5,4.867,4.6,1.6
"UnitedStates",0.92,"VeryHigh",68,"Female","No Kids","phd","full-time",15000,"researcher",30,0,"Medium-Sized","Married",0,0,5,4,3,4,4,1,1,1,3,5,2,5,4,4,5,1,3,2,2,5,5,2,2,3,1,1,3,5,4,1,3,4,2,3,4,3,3,5,5,3,3,4,2,2,3,"yes","yes",4,2.933,3.1,2.8
"UnitedStates",0.92,"VeryHigh",28,"Female","No Kids","ma","full-time",25000,NA,4,0,"Large-City","Married",0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,2,2,1,1,1,1,2,1,5,1,1,2,1,1,1,1,5,5,5,5,5,"no","no",1.2,1.2,1.5,5
"UnitedStates",0.92,"VeryHigh",55,"Male","Yes Kids","deg","full-time",150000,"Pharmacist",30,0,"Rural/Country","Married",2,0,2,2,2,2,2,1,1,4,1,2,1,1,3,2,2,3,2,2,1,2,2,2,3,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,"no","no",2,1.867,2.05,3.8
"UnitedStates",0.92,"VeryHigh",55,"Female","Yes Kids","phd","full-time",45000,"chiropractor",5,0,"Large-City","Divorced",1,0,5,4,5,4,4,2,2,3,5,4,3,4,5,4,5,5,4,5,4,4,5,5,4,2,5,5,5,5,4,5,4,5,4,4,5,5,5,5,1,5,2,3,2,3,1,"yes","yes",4.4,3.933,4.4,2.2
"UnitedStates",0.92,"VeryHigh",19,"Female","No Kids","ltuni","student",10000,NA,0,0,"Medium-Sized","Single",0,0,5,4,3,3,3,1,1,4,4,2,1,5,4,2,4,2,3,2,2,2,4,1,3,5,4,1,3,4,5,3,2,3,1,2,5,4,3,2,4,4,3,3,4,2,3,"yes","yes",3.6,2.6,3.15,3
"UnitedStates",0.92,"VeryHigh",32,"Female","Yes Kids","ltuni","unemployed",250000," houswife",6,3,"Medium-Sized","Married",1,1,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,2,5,3,5,5,5,5,5,5,4,2,4,5,5,5,5,5,2,1,1,1,1,"yes","yes",5,4.667,4.5,1.2
"UnitedStates",0.92,"VeryHigh",32,"Male","No Kids","phd","student",25000,NA,2,0,"Medium-Sized","Single",0,0,5,5,4,4,4,2,2,5,2,4,4,4,4,3,4,5,3,5,2,4,4,4,4,5,1,2,4,4,3,2,4,4,4,4,4,2,5,4,4,4,2,3,3,3,2,"yes","no",4.4,3.533,3.6,2.6
